idiom_id,headword,hanja,meaning,level_min
77,명재경각,命在頃刻,거의 죽게 되어 곧 숨이 끊어질 지경에 이름.,9
79,목불인견,目不忍見,눈앞에 벌어진 상황 따위를 눈 뜨고는 차마 볼 수 없음.,9
80,무위도식,無爲徒食,하는 일 없이 놀고먹음.,9
81,무위자연,無爲自然,자연에 맡겨 덧없는 행동은 하지 않음.,10
83,물아일체,物我一體,"외물(外物)과 자아, 객관과 주관, 또는 물질계와 정신계가 어울려 하나가 됨.",10
84,반신반의,半信半疑,얼마쯤 믿으면서도 한편으로는 의심함.,5
85,방약무인,傍若無人,곁에 사람이 없는 것처럼 아무 거리낌 없 이 함부로 말하고 행동하는 태도가 있음.,7
86,백가쟁명,百家爭鳴,"학설이나 주장을 자유롭게 발표하여, 논쟁하고 토론하는 일.",10
87,백골난망,白骨難忘,"죽어서 백골이 되어도 잊을 수 없다는 뜻으로, 남에게 큰 은덕을 입었을 때 고마움의 뜻으로 이르는 말.",7
88,백년하청,百年河淸,아무리 오랜 시일이 지나도 어떤 일이 이루어지기 어려움을 이르는 말.,9
89,백아절현,伯牙絶絃,"죽음을 슬퍼함. 중국 춘추 시대에 백아(伯牙)는 거문고를 매우 잘 탔고 그 의 벗 종자기(鍾子期)는 그 거문고 소리를 잘 들었는데, 종자기가 죽어 그 거문고 소리를 들을 사람이 없게 되자 백아가 절망하여 거문고 줄을 끊어 버리고 다시는 거문고를 타지 않았다는 데서 유래한다.",7
92,부화뇌동,附和雷同,줏대 없이 남의 의견에 따라 움직임.,9
93,분기탱천,憤氣撐天,분한 마음이 하늘을 찌를 듯 격렬하게 북받쳐 오름,7
96,비분강개,悲憤慷慨,슬프고 분하여 의분이 북받침.,9
97,비일비재,非一非再,한두 번이 아니고 많음.,7
98,사고무친,四顧無親,의지할 만한 사람이 아무도 없음.,5
99,사면초가,四面楚歌,"아무에게도 도움을 받지 못하는, 외롭고 곤란한 지경에 빠진 형편을 이르는 말.",5
101,사필귀정,事必歸正,모든 일은 반드시 바른길로 돌아 감.,5
102,삼고초려,三顧草廬,인재를 맞아들이기 위해 참을성 있게 노력한다는 말,5
103,삼십육계,三十六計,달아나는 것이 상책임을 나타내는 말.,5
104,상전벽해,桑田碧海,"뽕나무밭이 변하여 푸른 바다가 된다는 뜻으로, 세상일의 변천이 심 함을 비유적으로 이르는 말",7
105,새옹지마,塞翁之馬,인생의 길흉화복은 변화가 많아서 예측하 기가 어렵다는 말.,5
107,서절구투,鼠竊狗偸,"쥐나 개처럼 몰래 물건을 훔친다는 뜻으로, ‘좀도둑’을 이르는 말.",10
108,선견지명,先見之明,어떤 일이 일어나기 전에 미리 앞을 내다보고 아는 지혜.,5
109,선풍도골,仙風道骨,"란 뜻으로, 뛰어나게 고아한 풍채를 이르는 말.",10
110,설상가상,雪上加霜,"눈 위에 서리가 덮인다는 뜻으로, 난처한 일이나 불행한 일이 잇따라 일어남을 이르는 말.",5
111,설왕설래,說往說來,서로 변론을 주고받으며 옥신각신함. 또는 말이 오고 감.,7
113,소탐대실,小貪大失,작은 것을 탐내다가 큰 것을 잃음.,5
115,수구초심,首丘初心,"여우가 죽을 때에 머리를 자기가 살던 굴 쪽으로 둔다는 뜻 으로, 고향을 그리워하는 마음을 이르는 말).",9
116,수수방관,袖手傍觀,"팔짱을 끼고 보고만 있다는 뜻으로, 간섭하거나 거들지 아니하고 그대로 버려둠을 이 르는 말. ‘내버려 둠’, ‘보고만 있음’으로 순화.",7
119,수주대토,守株待兎,한 가지 일에만 얽매여 발전을 모르는 어리석은 사람을 비유적으로 이르는 말.,7
120,순망치한,脣亡齒寒,"입술이 없으면 이가 시리다는 뜻으로, 서로 이해관계가 밀접한 사이에 어느 한쪽이 망 하면 다른 한쪽도 그 영향을 받아 온전하기 어려움을 이르는 말.",7
122,시시비비,是是非非,1. 여러 가지의 잘잘못. 2. 옳고 그름을 따지며 다툼.,7
123,식자우환,識字憂患,학식이 있는 것이 오히려 근심을 사게 됨.,9
124,십장홍진,十丈紅塵,"열 길이나 되는 붉은 먼지, 어수선한 속세",10
127,안하무인,眼下無人,"눈 아래에 사람이 없다는 뜻으로, 방자하고 교만하여 다른 사람을 업신여김을 이르는 말.",7
128,암중모색,暗中摸索,1. 물건 따위를 어둠 속에서 더듬어 찾음. 2. 어림으로 무엇을 알아내거나 찾아내려 함. 3. 은 밀한 가운데 일의 실마리나 해결책을 찾아내려 함.,9
130,양자택일,兩者擇一,둘 중에서 하나를 고름.,5
135,여필종부,女必從夫,아내는 반드시 남편을 따라야 한다는 말.,10
136,연목구어,緣木求魚,"나무에 올라가서 물고기를 구한다 는 뜻으로, 도저히 불가능한 일을 굳이 하려 함을 비유적으로 이르는 말.",9
137,오리무중,五里霧中,"오 리나 되는 짙은 안개 속에 있다는 뜻으로, 무슨 일에 대하여 방향이나 갈 피를 잡을 수 없음을 이르는 말",5
139,오불관언,吾不關焉,나는 상관하지 않음. 또는 그러한 태도.,10
