# char	codepoint	stroke_count
# 출처: Unicode Consortium Unihan Database (Unihan_IRGSources.txt, kTotalStrokes), 2026-09-03 조회.
# populate_hanja_strokes.py가 이 파일을 읽어 vocab idiom.db의 hanja.stroke_count를 채운다.
苛	U+82DB	8
若	U+82E5	8
苦	U+82E6	8
茫	U+832B	9
草	U+8349	9
荷	U+8377	10
莫	U+83AB	10
萬	U+842C	12
薄	U+8584	16
薪	U+85AA	16
藍	U+85CD	17
蘭	U+862D	20
虎	U+864E	8
虛	U+865B	12
蜜	U+871C	14
螂	U+8782	14
螳	U+87B3	17
衆	U+8846	12
衢	U+8862	24
衣	U+8863	6
表	U+8868	8
袖	U+8896	10
裏	U+88CF	13
裳	U+88F3	14
西	U+897F	6
見	U+898B	7
親	U+89AA	16
觀	U+89C0	24
言	U+8A00	7
計	U+8A08	9
誅	U+8A85	13
誇	U+8A87	13
說	U+8AAA	14
論	U+8AD6	15
識	U+8B58	19
變	U+8B8A	23
谷	U+8C37	7
貪	U+8CAA	11
賊	U+8CCA	13
走	U+8D70	7
起	U+8D77	10
越	U+8D8A	12
踏	U+8E0F	15
身	U+8EAB	7
輕	U+8F15	14
轉	U+8F49	18
轍	U+8F4D	19
近	U+8FD1	7
退	U+9000	9
進	U+9032	11
過	U+904E	11
道	U+9053	12
遷	U+9077	15
還	U+9084	16
鄕	U+9115	12
里	U+91CC	7
重	U+91CD	9
金	U+91D1	8
針	U+91DD	10
錦	U+9326	16
門	U+9580	8
關	U+95DC	19
防	U+9632	6
附	U+9644	7
陰	U+9670	10
隔	U+9694	12
雄	U+96C4	12
難	U+96E3	19
雪	U+96EA	11
雲	U+96F2	12
雷	U+96F7	13
霜	U+971C	17
霧	U+9727	18
露	U+9732	21
霹	U+9739	21
靂	U+9742	24
靑	U+9751	8
非	U+975E	8
面	U+9762	9
頃	U+9803	11
顔	U+9854	18
類	U+985E	19
顧	U+9867	21
風	U+98A8	9
飛	U+98DB	9
食	U+98DF	9
餐	U+9910	16
首	U+9996	9
馬	U+99AC	10
駁	U+99C1	14
騎	U+9A0E	18
驚	U+9A5A	22
骨	U+9AA8	10
體	U+9AD4	22
高	U+9AD8	10
魂	U+9B42	13
魄	U+9B44	14
魚	U+9B5A	11
鳴	U+9CF4	14
麥	U+9EA5	11
黑	U+9ED1	12
鼠	U+9F20	13
齒	U+9F52	15
