doc_id,level,quarter,week,book_title,review_status,n_vocab,n_ox,n_qa,n_essay,b1_unknown,b2_empty,b3_label_as_question,b4_dup_order,b5_font_broken,w1_table_noconfig,w2_rows_int,w3_reading_type_odd,w4_reading_type_null,w5_missing_parts,w6_no_cover_message,n_images,n_images_linked,grade,blockers
L4-Q1-W08,L4,1분기(고전),8,바보 이반의 이야기 - 톨스토이 동화집,pending,4,5,10,1,3,0,0,2,4,0,0,0,0,0,0,4,0,unusable,B1;B4
L4-Q1-W09,L4,1분기(고전),9,톰 소여의 모험,pending,4,5,11,1,2,0,0,2,7,1,0,0,0,0,0,6,0,unusable,B1;B4
L4-Q1-W10,L4,1분기(고전),10,톰 소여의 모험,pending,4,5,12,1,3,0,0,3,7,0,0,0,0,0,0,5,0,unusable,B1;B4
L4-Q1-W11,L4,1분기(고전),11,앤서니 브라운이 그린 이상한 나라의 앨리스,pending,4,5,11,1,1,0,0,0,8,0,0,0,0,0,0,7,0,unusable,B1
L4-Q1-W12,L4,1분기(고전),12,앤서니 브라운이 그린 이상한 나라의 앨리스,pending,4,5,11,1,2,0,0,0,24,2,0,0,0,0,0,6,0,unusable,B1
L4-Q2-W04,L4,2분기(탐구),4,안녕! 미래 도시,pending,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,needs_review,
L4-Q3-W01,L4,3분기(문학),1,박씨부인전,pending,4,0,9,1,1,0,0,1,6,2,0,0,0,1,0,4,0,unusable,B1;B4
L4-Q3-W02,L4,3분기(문학),2,홍길동전,pending,4,5,14,1,5,0,0,2,6,1,0,0,0,0,0,3,0,unusable,B1;B4
L4-Q3-W03,L4,3분기(문학),3,임진록,pending,4,5,16,1,7,0,0,4,7,2,0,0,0,0,0,4,0,unusable,B1;B4
L4-Q3-W04,L4,3분기(문학),4,임진록,pending,4,5,10,1,3,0,0,2,7,1,0,0,0,0,0,5,0,unusable,B1;B4
L4-Q3-W05,L4,3분기(문학),5,봄 편지: 서덕출 동시집,pending,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,needs_review,
L4-Q3-W06,L4,3분기(문학),6,별똥 떨어진 곳,pending,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,needs_review,
L4-Q3-W07,L4,3분기(문학),7,마당을 나온 암탉,pending,4,5,8,1,0,0,0,0,5,0,0,0,0,0,0,4,0,ready,
L4-Q3-W08,L4,3분기(문학),8,마당을 나온 암탉,pending,4,5,7,1,0,0,0,0,1,1,0,0,0,0,0,4,0,needs_review,
L4-Q3-W09,L4,3분기(문학),9,푸른 사자 와니니,pending,4,5,13,1,2,0,0,2,1,0,0,0,0,0,0,1,0,unusable,B1;B4
L4-Q3-W10,L4,3분기(문학),10,푸른 사자 와니니,pending,4,5,13,1,1,0,0,1,0,0,0,0,0,0,0,1,0,unusable,B1;B4
L4-Q3-W11,L4,3분기(문학),11,에드워드 툴레인의 신기한 여행,pending,4,5,9,1,3,0,0,1,13,0,0,0,0,0,0,3,0,unusable,B1;B4
L4-Q3-W12,L4,3분기(문학),12,에드워드 툴레인의 신기한 여행,pending,4,5,10,1,1,0,0,1,0,0,0,0,0,0,0,4,0,unusable,B1;B4
L4-Q3-W13,L4,3분기(문학),13,말대꾸하면 안 돼요,pending,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,needs_review,
L4-Q4-W01,L4,4분기(인문예술),1,스토리텔링 초등한국사교과서 1권,pending,4,5,14,1,7,0,0,3,7,0,0,0,0,0,0,6,0,unusable,B1;B4
L4-Q4-W02,L4,4분기(인문예술),2,스토리텔링 초등한국사교과서 1권,pending,4,5,7,1,1,0,0,0,3,0,0,0,0,0,0,4,0,unusable,B1
L4-Q4-W03,L4,4분기(인문예술),3,스토리텔링 초등한국사교과서 2권,pending,4,5,12,1,4,0,0,3,18,2,0,0,0,0,0,5,0,unusable,B1;B4
L4-Q4-W04,L4,4분기(인문예술),4,스토리텔링 초등한국사교과서 2권,pending,4,5,10,1,1,0,0,0,6,1,0,0,0,0,0,3,0,unusable,B1
L4-Q4-W06,L4,4분기(인문예술),6,스토리텔링 초등한국사교과서 3권,pending,4,5,9,1,0,0,0,0,0,2,0,0,0,0,0,6,0,needs_review,
L4-Q4-W07,L4,4분기(인문예술),7,스토리텔링 초등한국사교과서 3권,pending,4,5,10,1,3,0,0,2,4,0,0,0,0,0,0,5,0,unusable,B1;B4
L4-Q4-W08,L4,4분기(인문예술),8,어린이 대학 - 역사,pending,4,5,9,1,0,0,0,0,3,0,0,0,0,0,0,3,0,ready,
L4-Q4-W09,L4,4분기(인문예술),9,세계사가 한눈에 쏙 어린이 서양 미술사,pending,4,5,8,1,1,0,0,0,6,1,0,0,0,0,0,4,0,unusable,B1
L4-Q4-W10,L4,4분기(인문예술),10,세계사가 한눈에 쏙 어린이 서양 미술사,pending,4,5,8,1,0,0,0,1,2,1,0,0,0,0,0,7,0,unusable,B4
L4-Q4-W11,L4,4분기(인문예술),11,"빈센트 반 고흐, 세상을 노랗게 물들이다",pending,4,5,8,1,0,0,0,0,3,0,0,0,0,0,0,5,0,ready,
L4-Q4-W12,L4,4분기(인문예술),12,이데아의 숲에서 정의를 찾다,pending,4,5,11,1,3,0,0,1,6,0,0,0,0,0,0,6,0,unusable,B1;B4
L4-Q4-W13,L4,4분기(인문예술),13,이데아의 숲에서 정의를 찾다,pending,4,5,8,1,0,0,0,0,8,1,0,0,0,0,0,3,0,needs_review,
L5-Q1-W01,L5,1분기(고전),1,오즈의 마법사,pending,4,5,7,1,0,0,0,0,3,0,0,0,0,0,0,2,0,ready,
L5-Q1-W02,L5,1분기(고전),2,오즈의 마법사,pending,4,5,8,1,1,0,0,1,7,0,0,0,0,0,0,2,0,unusable,B1;B4
L5-Q1-W03,L5,1분기(고전),3,파랑새,pending,4,5,7,1,0,0,0,0,1,1,0,0,0,0,0,3,0,needs_review,
L5-Q1-W04,L5,1분기(고전),4,파랑새,pending,4,5,8,1,0,0,0,0,1,0,0,0,0,0,0,3,0,ready,
L5-Q1-W05,L5,1분기(고전),5,지킬 박사와 하이드,pending,4,5,9,1,0,0,0,0,4,1,0,0,0,0,0,4,0,needs_review,
L5-Q1-W06,L5,1분기(고전),6,나의 라임 오렌지 나무,pending,4,5,8,1,0,0,0,0,5,0,0,0,8,0,0,4,0,needs_review,
L5-Q1-W07,L5,1분기(고전),7,나의 라임 오렌지 나무,pending,4,5,8,1,0,0,0,0,6,1,0,0,8,0,0,3,0,needs_review,
L5-Q1-W08,L5,1분기(고전),8,왕자와 거지,pending,4,5,9,1,1,0,0,1,11,1,0,0,0,0,0,2,0,unusable,B1;B4
L5-Q1-W09,L5,1분기(고전),9,왕자와 거지,pending,4,5,11,1,2,0,0,2,26,0,0,0,0,0,0,2,0,unusable,B1;B4
L5-Q1-W10,L5,1분기(고전),10,80일간의 세계 일주,pending,4,5,10,1,1,0,0,1,18,1,0,0,0,0,0,3,0,unusable,B1;B4
L5-Q1-W11,L5,1분기(고전),11,80일간의 세계 일주,pending,4,5,10,1,1,0,0,1,16,1,0,0,0,0,0,2,0,unusable,B1;B4
L5-Q1-W12,L5,1분기(고전),12,80일간의 세계 일주,pending,4,5,8,1,0,0,0,0,4,0,0,0,1,0,0,2,0,needs_review,
